variant_id,scenario_id,confidence,prediction,reference,correct,p_A,p_B,p_C,p_D
E17_variant13,s017,0.52,B,A,False,0.17,0.52,0.31,0.0
E17_variant14,s017,0.45,B,A,False,0.17,0.45,0.38,0.0
E17_variant15,s017,0.42,B,A,False,0.16,0.42,0.42,0.0
E17_variant16,s017,0.41,B,A,False,0.18,0.41,0.41,0.0
E18_variant01,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant02,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant03,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant04,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant05,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant06,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant07,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant08,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant09,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant10,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant11,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant12,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant13,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant14,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant15,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E18_variant16,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
E19_variant01,s019,0.73,B,B,True,0.03,0.73,0.24,0.0
E19_variant02,s019,0.81,B,B,True,0.03,0.81,0.16,0.0
E19_variant03,s019,0.59,B,B,True,0.04,0.59,0.37,0.0
E19_variant04,s019,0.71,B,B,True,0.03,0.71,0.26,0.0
E19_variant05,s019,0.71,B,B,True,0.03,0.71,0.26,0.0
E19_variant06,s019,0.81,B,B,True,0.03,0.81,0.16,0.0
E19_variant07,s019,0.59,B,B,True,0.03,0.59,0.38,0.0
E19_variant08,s019,0.71,B,B,True,0.03,0.71,0.26,0.0
E19_variant09,s019,0.72,B,B,True,0.02,0.72,0.26,0.0
E19_variant10,s019,0.81,B,B,True,0.02,0.81,0.17,0.0
E19_variant11,s019,0.5,B,B,True,0.02,0.5,0.48,0.0
E19_variant12,s019,0.73,B,B,True,0.03,0.73,0.24,0.0
E19_variant13,s019,0.67,B,B,True,0.02,0.67,0.31,0.0
E19_variant14,s019,0.8,B,B,True,0.03,0.8,0.17,0.0
E19_variant15,s019,0.58,B,B,True,0.02,0.58,0.4,0.0
E19_variant16,s019,0.73,B,B,True,0.03,0.73,0.24,0.0
E20_variant01,s020,0.91,B,A,False,0.01,0.91,0.08,0.0
E20_variant02,s020,0.81,B,A,False,0.0,0.81,0.19,0.0
E20_variant03,s020,0.89,B,A,False,0.01,0.89,0.1,0.0
E20_variant04,s020,0.76,B,A,False,0.01,0.76,0.23,0.0
E20_variant05,s020,0.93,B,A,False,0.01,0.93,0.06,0.0
E20_variant06,s020,0.89,B,A,False,0.0,0.89,0.11,0.0
E20_variant07,s020,0.91,B,A,False,0.02,0.91,0.07,0.0
E20_variant08,s020,0.82,B,A,False,0.01,0.82,0.17,0.0
E20_variant09,s020,0.91,B,A,False,0.01,0.91,0.08,0.0
E20_variant10,s020,0.81,B,A,False,0.0,0.81,0.19,0.0
E20_variant11,s020,0.87,B,A,False,0.01,0.87,0.12,0.0
E20_variant12,s020,0.74,B,A,False,0.0,0.74,0.26,0.0
E20_variant13,s020,0.9,B,A,False,0.01,0.9,0.09,0.0
E20_variant14,s020,0.88,B,A,False,0.0,0.88,0.12,0.0
E20_variant15,s020,0.9,B,A,False,0.01,0.9,0.09,0.0
E20_variant16,s020,0.78,B,A,False,0.01,0.78,0.21,0.0
E21_variant01,s021,0.93,B,B,True,0.0,0.93,0.07,0.0
E21_variant02,s021,0.84,B,B,True,0.0,0.84,0.16,0.0
E21_variant03,s021,0.92,B,B,True,0.0,0.92,0.08,0.0
E21_variant04,s021,0.79,B,B,True,0.0,0.79,0.21,0.0
E21_variant05,s021,0.94,B,B,True,0.0,0.94,0.06,0.0
E21_variant06,s021,0.82,B,B,True,0.0,0.82,0.18,0.0
E21_variant07,s021,0.93,B,B,True,0.0,0.93,0.07,0.0
E21_variant08,s021,0.78,B,B,True,0.0,0.78,0.22,0.0
E21_variant09,s021,0.96,B,B,True,0.0,0.96,0.04,0.0
E21_variant10,s021,0.83,B,B,True,0.0,0.83,0.17,0.0
E21_variant11,s021,0.93,B,B,True,0.0,0.93,0.07,0.0
E21_variant12,s021,0.74,B,B,True,0.0,0.74,0.26,0.0
E21_variant13,s021,0.95,B,B,True,0.0,0.95,0.05,0.0
E21_variant14,s021,0.85,B,B,True,0.0,0.85,0.15,0.0
E21_variant15,s021,0.93,B,B,True,0.0,0.93,0.07,0.0
E21_variant16,s021,0.76,B,B,True,0.0,0.76,0.24,0.0
E24_variant01,s024,0.89,B,B,True,0.0,0.89,0.11,0.0
E24_variant02,s024,0.92,B,B,True,0.0,0.92,0.08,0.0
E24_variant03,s024,0.93,B,B,True,0.0,0.93,0.07,0.0
E24_variant04,s024,0.95,B,B,True,0.0,0.95,0.05,0.0
E24_variant05,s024,0.88,B,B,True,0.0,0.88,0.12,0.0
E24_variant06,s024,0.92,B,B,True,0.0,0.92,0.08,0.0
E24_variant07,s024,0.9,B,B,True,0.0,0.9,0.1,0.0
E24_variant08,s024,0.95,B,B,True,0.0,0.95,0.05,0.0
E24_variant09,s024,0.9,B,B,True,0.0,0.9,0.1,0.0
E24_variant10,s024,0.94,B,B,True,0.0,0.94,0.06,0.0
E24_variant11,s024,0.9,B,B,True,0.0,0.9,0.1,0.0
E24_variant12,s024,0.96,B,B,True,0.0,0.96,0.04,0.0
E24_variant13,s024,0.87,B,B,True,0.0,0.87,0.13,0.0
E24_variant14,s024,0.91,B,B,True,0.0,0.91,0.09,0.0
E24_variant15,s024,0.9,B,B,True,0.0,0.9,0.1,0.0
E24_variant16,s024,0.94,B,B,True,0.0,0.94,0.06,0.0
E25_variant01,s025,0.64,C,C,True,0.0,0.0,0.64,0.36
E25_variant02,s025,0.97,C,C,True,0.0,0.0,0.97,0.03
E25_variant03,s025,0.56,D,C,False,0.0,0.0,0.44,0.56
E25_variant04,s025,0.82,C,C,True,0.0,0.0,0.82,0.18
E25_variant05,s025,0.63,C,C,True,0.0,0.0,0.63,0.37
E25_variant06,s025,0.96,C,C,True,0.0,0.0,0.96,0.04
E25_variant07,s025,0.58,D,C,False,0.0,0.0,0.42,0.58
E25_variant08,s025,0.87,C,C,True,0.0,0.0,0.87,0.13
E25_variant09,s025,0.6,C,C,True,0.0,0.0,0.6,0.4
E25_variant10,s025,0.95,C,C,True,0.0,0.0,0.95,0.05
E25_variant11,s025,0.59,D,C,False,0.0,0.0,0.41,0.59
E25_variant12,s025,0.83,C,C,True,0.0,0.0,0.83,0.17
E25_variant13,s025,0.64,C,C,True,0.0,0.0,0.64,0.36
E25_variant14,s025,0.96,C,C,True,0.0,0.0,0.96,0.04
E25_variant15,s025,0.66,D,C,False,0.0,0.0,0.34,0.66
E25_variant16,s025,0.83,C,C,True,0.0,0.0,0.83,0.17
E3_variant02,s003,0.77,C,C,True,0.03,0.19,0.77,0.01
E3_variant03,s003,0.83,C,C,True,0.0,0.01,0.83,0.16
E3_variant04,s003,0.83,C,C,True,0.02,0.07,0.83,0.08
E3_variant05,s003,0.95,C,C,True,0.0,0.01,0.95,0.04
E3_variant06,s003,0.72,C,C,True,0.05,0.2,0.72,0.03
E3_variant07,s003,0.84,C,C,True,0.0,0.01,0.84,0.15
E3_variant08,s003,0.84,C,C,True,0.02,0.05,0.84,0.09
E3_variant09,s003,0.95,C,C,True,0.0,0.02,0.95,0.03
E3_variant10,s003,0.81,C,C,True,0.02,0.15,0.81,0.02
E3_variant11,s003,0.77,C,C,True,0.0,0.01,0.77,0.22
E3_variant12,s003,0.82,C,C,True,0.02,0.04,0.82,0.12
E3_variant13,s003,0.94,C,C,True,0.0,0.02,0.94,0.04
E3_variant14,s003,0.78,C,C,True,0.03,0.17,0.78,0.02
E3_variant15,s003,0.87,C,C,True,0.0,0.01,0.87,0.12
E3_variant16,s003,0.83,C,C,True,0.02,0.06,0.83,0.09
E4_variant01,s004,0.97,C,C,True,0.0,0.0,0.97,0.03
E4_variant02,s004,0.99,C,C,True,0.0,0.0,0.99,0.01
E4_variant03,s004,0.96,C,C,True,0.0,0.01,0.96,0.03
E4_variant04,s004,0.95,C,C,True,0.0,0.03,0.95,0.02
E4_variant05,s004,0.97,C,C,True,0.0,0.0,0.97,0.03
E4_variant06,s004,0.99,C,C,True,0.0,0.0,0.99,0.01
E4_variant07,s004,0.96,C,C,True,0.0,0.01,0.96,0.03
E4_variant08,s004,0.94,C,C,True,0.0,0.04,0.94,0.02
E4_variant09,s004,0.98,C,C,True,0.0,0.0,0.98,0.02
E4_variant10,s004,0.98,C,C,True,0.0,0.01,0.98,0.01
E4_variant11,s004,0.96,C,C,True,0.0,0.01,0.96,0.03
E4_variant12,s004,0.95,C,C,True,0.0,0.03,0.95,0.02
E4_variant13,s004,0.98,C,C,True,0.0,0.0,0.98,0.02
E4_variant14,s004,0.99,C,C,True,0.0,0.0,0.99,0.01
E4_variant15,s004,0.96,C,C,True,0.0,0.01,0.96,0.03
E4_variant16,s004,0.91,C,C,True,0.0,0.07,0.91,0.02
E5_variant01,s005,0.78,A,A,True,0.78,0.0,0.22,0.0
E5_variant02,s005,0.65,A,A,True,0.65,0.01,0.34,0.0
E5_variant03,s005,0.73,A,A,True,0.73,0.0,0.27,0.0
E5_variant04,s005,0.65,A,A,True,0.65,0.01,0.34,0.0
E5_variant05,s005,0.77,A,A,True,0.77,0.0,0.23,0.0
E5_variant06,s005,0.68,A,A,True,0.68,0.01,0.31,0.0
E5_variant07,s005,0.74,A,A,True,0.74,0.0,0.26,0.0
E5_variant08,s005,0.63,A,A,True,0.63,0.01,0.36,0.0
E5_variant09,s005,0.74,A,A,True,0.74,0.0,0.26,0.0
E5_variant10,s005,0.62,A,A,True,0.62,0.01,0.37,0.0
E5_variant11,s005,0.71,A,A,True,0.71,0.0,0.29,0.0
E5_variant12,s005,0.64,A,A,True,0.64,0.01,0.35,0.0
E5_variant13,s005,0.79,A,A,True,0.79,0.0,0.21,0.0
E5_variant14,s005,0.66,A,A,True,0.66,0.01,0.33,0.0
E5_variant15,s005,0.7,A,A,True,0.7,0.0,0.3,0.0
E5_variant16,s005,0.67,A,A,True,0.67,0.01,0.32,0.0
E8_variant01,s008,0.71,B,A,False,0.12,0.71,0.17,0.0
E8_variant02,s008,0.66,B,A,False,0.15,0.66,0.19,0.0
E8_variant03,s008,0.61,B,A,False,0.16,0.61,0.23,0.0
E8_variant04,s008,0.61,B,A,False,0.17,0.61,0.22,0.0
E8_variant05,s008,0.72,B,A,False,0.14,0.72,0.14,0.0
E8_variant06,s008,0.68,B,A,False,0.15,0.68,0.17,0.0
E8_variant07,s008,0.61,B,A,False,0.19,0.61,0.2,0.0
E8_variant08,s008,0.59,B,A,False,0.21,0.59,0.2,0.0
E8_variant09,s008,0.68,B,A,False,0.14,0.68,0.18,0.0
E8_variant10,s008,0.68,B,A,False,0.14,0.68,0.18,0.0
E8_variant11,s008,0.6,B,A,False,0.16,0.6,0.24,0.0
E8_variant12,s008,0.54,B,A,False,0.18,0.54,0.28,0.0
E8_variant13,s008,0.69,B,A,False,0.13,0.69,0.18,0.0
E8_variant14,s008,0.68,B,A,False,0.15,0.68,0.17,0.0
E8_variant15,s008,0.62,B,A,False,0.16,0.62,0.22,0.0
E8_variant16,s008,0.58,B,A,False,0.22,0.58,0.2,0.0
E9_variant01,s009,0.95,D,D,True,0.0,0.0,0.05,0.95
E9_variant02,s009,0.86,D,D,True,0.0,0.0,0.14,0.86
E9_variant03,s009,0.98,D,D,True,0.0,0.0,0.02,0.98
E9_variant04,s009,0.95,D,D,True,0.0,0.0,0.05,0.95
E9_variant05,s009,0.94,D,D,True,0.0,0.0,0.06,0.94
E9_variant06,s009,0.87,D,D,True,0.0,0.0,0.13,0.87
E9_variant07,s009,0.97,D,D,True,0.0,0.0,0.03,0.97
E9_variant08,s009,0.96,D,D,True,0.0,0.0,0.04,0.96
E9_variant09,s009,0.93,D,D,True,0.0,0.0,0.07,0.93
E9_variant10,s009,0.8200000000000001,D,D,True,0.0,0.0,0.18,0.8200000000000001
E9_variant11,s009,0.96,D,D,True,0.0,0.0,0.04,0.96
E9_variant12,s009,0.91,D,D,True,0.0,0.0,0.09,0.91
E9_variant13,s009,0.93,D,D,True,0.0,0.0,0.07,0.93
E9_variant14,s009,0.84,D,D,True,0.0,0.0,0.16,0.84
E9_variant15,s009,0.97,D,D,True,0.0,0.0,0.03,0.97
E9_variant16,s009,0.92,D,D,True,0.0,0.0,0.08,0.92
F13_variant01,s013,0.88,D,D,True,0.0,0.0,0.12,0.88
F13_variant02,s013,0.52,D,D,True,0.04,0.0,0.44,0.52
F13_variant03,s013,0.87,D,D,True,0.0,0.0,0.13,0.87
F13_variant04,s013,0.64,D,D,True,0.04,0.0,0.32,0.64
F13_variant05,s013,0.87,D,D,True,0.0,0.0,0.13,0.87
F13_variant06,s013,0.47,D,D,True,0.09,0.0,0.44,0.47
F13_variant07,s013,0.88,D,D,True,0.0,0.0,0.12,0.88
F13_variant08,s013,0.59,D,D,True,0.04,0.0,0.37,0.59
F13_variant09,s013,0.87,D,D,True,0.0,0.0,0.13,0.87
F13_variant10,s013,0.55,D,D,True,0.05,0.0,0.4,0.55
F13_variant11,s013,0.88,D,D,True,0.0,0.0,0.12,0.88
F13_variant12,s013,0.66,D,D,True,0.03,0.0,0.31,0.66
F13_variant13,s013,0.85,D,D,True,0.0,0.0,0.15,0.85
F13_variant14,s013,0.48,D,D,True,0.07,0.0,0.45,0.48
F13_variant15,s013,0.87,D,D,True,0.0,0.0,0.13,0.87
F13_variant16,s013,0.68,D,D,True,0.03,0.0,0.29,0.68
F17_variant01,s017,0.62,A,A,True,0.62,0.29,0.09,0.0
F17_variant02,s017,0.37,C,A,False,0.32,0.31,0.37,0.0
F17_variant03,s017,0.52,A,A,True,0.52,0.32,0.16,0.0
F17_variant04,s017,0.38,C,A,False,0.34,0.28,0.38,0.0
F17_variant05,s017,0.68,A,A,True,0.68,0.25,0.07,0.0
F17_variant06,s017,0.37,A,A,True,0.37,0.31,0.32,0.0
F17_variant07,s017,0.55,A,A,True,0.55,0.3,0.15,0.0
F17_variant08,s017,0.36,A,A,True,0.36,0.32,0.32,0.0
F17_variant09,s017,0.56,A,A,True,0.56,0.34,0.1,0.0
F17_variant10,s017,0.38,C,A,False,0.29,0.33,0.38,0.0
F17_variant11,s017,0.52,A,A,True,0.52,0.35,0.13,0.0
F17_variant12,s017,0.38,C,A,False,0.33,0.29,0.38,0.0
F17_variant13,s017,0.6,A,A,True,0.6,0.32,0.08,0.0
F17_variant14,s017,0.34,C,A,False,0.33,0.33,0.34,0.0
F17_variant15,s017,0.51,A,A,True,0.51,0.34,0.15,0.0
F17_variant16,s017,0.36,C,A,False,0.33,0.31,0.36,0.0
F18_variant01,s018,1.0,B,B,True,0.0,1.0,0.0,0.0
F18_variant02,s018,0.98,B,B,True,0.0,0.98,0.02,0.0
F18_variant03,s018,1.0,B,B,True,0.0,1.0,0.0,0.0
F18_variant04,s018,0.97,B,B,True,0.01,0.97,0.02,0.0
F18_variant05,s018,1.0,B,B,True,0.0,1.0,0.0,0.0
F18_variant06,s018,0.98,B,B,True,0.0,0.98,0.02,0.0
F18_variant07,s018,1.0,B,B,True,0.0,1.0,0.0,0.0
F18_variant08,s018,0.96,B,B,True,0.01,0.96,0.03,0.0
F18_variant09,s018,1.0,B,B,True,0.0,1.0,0.0,0.0
F18_variant10,s018,0.98,B,B,True,0.0,0.98,0.02,0.0
F18_variant11,s018,0.99,B,B,True,0.0,0.99,0.01,0.0
F18_variant12,s018,0.98,B,B,True,0.0,0.98,0.02,0.0
F18_variant13,s018,1.0,B,B,True,0.0,1.0,0.0,0.0
F18_variant14,s018,0.98,B,B,True,0.0,0.98,0.02,0.0
F18_variant15,s018,1.0,B,B,True,0.0,1.0,0.0,0.0
F18_variant16,s018,0.97,B,B,True,0.0,0.97,0.03,0.0
F19_variant01,s019,0.5,A,B,False,0.5,0.47,0.03,0.0
F19_variant02,s019,0.65,C,B,False,0.01,0.34,0.65,0.0
F19_variant03,s019,0.47,A,B,False,0.47,0.42,0.11,0.0
F19_variant04,s019,0.74,C,B,False,0.02,0.23,0.74,0.01
F19_variant05,s019,0.53,A,B,False,0.53,0.44,0.03,0.0
F19_variant06,s019,0.7,C,B,False,0.01,0.29,0.7,0.0
F19_variant07,s019,0.49,A,B,False,0.49,0.41,0.1,0.0
F19_variant08,s019,0.76,C,B,False,0.02,0.22,0.76,0.0
F19_variant09,s019,0.6,A,B,False,0.6,0.36,0.04,0.0
F19_variant10,s019,0.59,C,B,False,0.01,0.4,0.59,0.0
F19_variant11,s019,0.55,A,B,False,0.55,0.36,0.09,0.0
F19_variant12,s019,0.74,C,B,False,0.01,0.25,0.74,0.0
F19_variant13,s019,0.57,A,B,False,0.57,0.4,0.03,0.0
F19_variant14,s019,0.69,C,B,False,0.01,0.3,0.69,0.0
F19_variant15,s019,0.52,A,B,False,0.52,0.4,0.08,0.0
F19_variant16,s019,0.75,C,B,False,0.01,0.24,0.75,0.0
F20_variant01,s020,0.87,B,A,False,0.01,0.87,0.12,0.0
F20_variant02,s020,0.78,B,A,False,0.0,0.78,0.22,0.0
F20_variant03,s020,0.85,B,A,False,0.01,0.85,0.14,0.0
F20_variant04,s020,0.66,B,A,False,0.01,0.66,0.33,0.0
F20_variant05,s020,0.92,B,A,False,0.01,0.92,0.07,0.0
F20_variant06,s020,0.82,B,A,False,0.0,0.82,0.18,0.0
F20_variant07,s020,0.88,B,A,False,0.02,0.88,0.1,0.0
F20_variant08,s020,0.78,B,A,False,0.0,0.78,0.22,0.0
F20_variant09,s020,0.88,B,A,False,0.01,0.88,0.11,0.0
F20_variant10,s020,0.77,B,A,False,0.0,0.77,0.23,0.0
F20_variant11,s020,0.84,B,A,False,0.01,0.84,0.15,0.0
F20_variant12,s020,0.72,B,A,False,0.01,0.72,0.27,0.0
F20_variant13,s020,0.9,B,A,False,0.01,0.9,0.09,0.0
F20_variant14,s020,0.83,B,A,False,0.0,0.83,0.17,0.0
F20_variant15,s020,0.86,B,A,False,0.01,0.86,0.13,0.0
F20_variant16,s020,0.77,B,A,False,0.01,0.77,0.22,0.0
F21_variant01,s021,0.94,B,B,True,0.0,0.94,0.06,0.0
F21_variant02,s021,0.82,B,B,True,0.0,0.82,0.18,0.0
F21_variant03,s021,0.88,B,B,True,0.0,0.88,0.12,0.0
F21_variant04,s021,0.74,B,B,True,0.0,0.74,0.26,0.0
F21_variant05,s021,0.95,B,B,True,0.0,0.95,0.05,0.0
F21_variant06,s021,0.83,B,B,True,0.0,0.83,0.17,0.0
F21_variant07,s021,0.88,B,B,True,0.0,0.88,0.12,0.0
F21_variant08,s021,0.72,B,B,True,0.0,0.72,0.28,0.0
F21_variant09,s021,0.94,B,B,True,0.0,0.94,0.06,0.0
F21_variant10,s021,0.83,B,B,True,0.0,0.83,0.17,0.0
F21_variant11,s021,0.88,B,B,True,0.0,0.88,0.12,0.0
F21_variant12,s021,0.76,B,B,True,0.0,0.76,0.24,0.0
F21_variant13,s021,0.94,B,B,True,0.0,0.94,0.06,0.0
F21_variant14,s021,0.85,B,B,True,0.0,0.85,0.15,0.0
F21_variant15,s021,0.88,B,B,True,0.0,0.88,0.12,0.0
F21_variant16,s021,0.71,B,B,True,0.0,0.71,0.29,0.0
F24_variant01,s024,0.51,B,B,True,0.48,0.51,0.01,0.0
F24_variant02,s024,0.72,B,B,True,0.27,0.72,0.01,0.0
F24_variant03,s024,0.66,B,B,True,0.33,0.66,0.01,0.0
F24_variant04,s024,0.84,B,B,True,0.15,0.84,0.01,0.0
F24_variant05,s024,0.52,B,B,True,0.47,0.52,0.01,0.0
F24_variant06,s024,0.76,B,B,True,0.23,0.76,0.01,0.0
F24_variant07,s024,0.6,B,B,True,0.39,0.6,0.01,0.0
F24_variant08,s024,0.88,B,B,True,0.12,0.88,0.0,0.0
F24_variant09,s024,0.53,B,B,True,0.46,0.53,0.01,0.0
F24_variant10,s024,0.78,B,B,True,0.22,0.78,0.0,0.0
F24_variant11,s024,0.66,B,B,True,0.33,0.66,0.01,0.0
F24_variant12,s024,0.85,B,B,True,0.14,0.85,0.01,0.0
F24_variant13,s024,0.55,A,B,False,0.55,0.44,0.01,0.0
F24_variant14,s024,0.82,B,B,True,0.17,0.82,0.01,0.0
F24_variant15,s024,0.6,B,B,True,0.39,0.6,0.01,0.0
F24_variant16,s024,0.88,B,B,True,0.12,0.88,0.0,0.0
F25_variant01,s025,0.55,C,C,True,0.0,0.0,0.55,0.45
F25_variant02,s025,0.95,C,C,True,0.0,0.0,0.95,0.05
F25_variant03,s025,0.6900000000000001,D,C,False,0.0,0.0,0.31,0.6900000000000001
F25_variant04,s025,0.84,C,C,True,0.0,0.0,0.84,0.16
F25_variant05,s025,0.52,C,C,True,0.0,0.0,0.52,0.48
F25_variant06,s025,0.94,C,C,True,0.0,0.0,0.94,0.06
F25_variant07,s025,0.61,D,C,False,0.0,0.0,0.39,0.61
F25_variant08,s025,0.84,C,C,True,0.0,0.0,0.84,0.16
F25_variant09,s025,0.52,D,C,False,0.0,0.0,0.48,0.52
F25_variant10,s025,0.93,C,C,True,0.0,0.0,0.93,0.07
F25_variant11,s025,0.65,D,C,False,0.0,0.0,0.35,0.65
F25_variant12,s025,0.84,C,C,True,0.0,0.0,0.84,0.16
F25_variant13,s025,0.53,D,C,False,0.0,0.0,0.47,0.53
F25_variant14,s025,0.93,C,C,True,0.0,0.0,0.93,0.07
F25_variant15,s025,0.68,D,C,False,0.0,0.0,0.32,0.68
F25_variant16,s025,0.86,C,C,True,0.0,0.0,0.86,0.14
F3_variant01,s003,0.87,C,C,True,0.0,0.01,0.87,0.12
F3_variant02,s003,0.89,C,C,True,0.02,0.04,0.89,0.05
F3_variant03,s003,0.53,C,C,True,0.0,0.0,0.53,0.47
F3_variant04,s003,0.77,C,C,True,0.01,0.01,0.77,0.21
F3_variant05,s003,0.83,C,C,True,0.0,0.01,0.83,0.16
F3_variant06,s003,0.86,C,C,True,0.04,0.06,0.86,0.04
F3_variant07,s003,0.54,D,C,False,0.0,0.0,0.46,0.54
F3_variant08,s003,0.77,C,C,True,0.01,0.01,0.77,0.21
F3_variant09,s003,0.86,C,C,True,0.0,0.01,0.86,0.13
F3_variant10,s003,0.88,C,C,True,0.02,0.03,0.88,0.07
F3_variant11,s003,0.56,C,C,True,0.0,0.0,0.56,0.44
F3_variant12,s003,0.75,C,C,True,0.01,0.01,0.75,0.23
F3_variant13,s003,0.83,C,C,True,0.0,0.0,0.83,0.17
F3_variant14,s003,0.89,C,C,True,0.02,0.03,0.89,0.06
F3_variant15,s003,0.56,C,C,True,0.0,0.0,0.56,0.44
F3_variant16,s003,0.75,C,C,True,0.01,0.01,0.75,0.23
F4_variant01,s004,0.98,C,C,True,0.0,0.01,0.98,0.01
F4_variant02,s004,0.98,C,C,True,0.0,0.01,0.98,0.01
F4_variant03,s004,0.94,C,C,True,0.0,0.03,0.94,0.03
F4_variant04,s004,0.91,C,C,True,0.0,0.07,0.91,0.02
F4_variant05,s004,0.98,C,C,True,0.0,0.01,0.98,0.01
F4_variant06,s004,0.98,C,C,True,0.0,0.01,0.98,0.01
F4_variant07,s004,0.93,C,C,True,0.0,0.05,0.93,0.02
F4_variant08,s004,0.88,C,C,True,0.0,0.1,0.88,0.02
F4_variant09,s004,0.98,C,C,True,0.0,0.01,0.98,0.01
F4_variant10,s004,0.97,C,C,True,0.0,0.02,0.97,0.01
F4_variant11,s004,0.93,C,C,True,0.0,0.04,0.93,0.03
F4_variant12,s004,0.89,C,C,True,0.0,0.09,0.89,0.02
F4_variant13,s004,0.97,C,C,True,0.0,0.02,0.97,0.01
F4_variant14,s004,0.97,C,C,True,0.0,0.02,0.97,0.01
F4_variant15,s004,0.92,C,C,True,0.0,0.06,0.92,0.02
F4_variant16,s004,0.86,C,C,True,0.0,0.12,0.86,0.02
F5_variant01,s005,0.6,C,A,False,0.4,0.0,0.6,0.0
F5_variant02,s005,0.56,A,A,True,0.56,0.01,0.43,0.0
F5_variant03,s005,0.62,C,A,False,0.38,0.0,0.62,0.0
F5_variant04,s005,0.55,A,A,True,0.55,0.01,0.44,0.0
F5_variant05,s005,0.5700000000000001,C,A,False,0.43,0.0,0.5700000000000001,0.0
F5_variant06,s005,0.56,A,A,True,0.56,0.01,0.43,0.0
F5_variant07,s005,0.55,C,A,False,0.45,0.0,0.55,0.0
F5_variant08,s005,0.54,A,A,True,0.54,0.01,0.45,0.0
F5_variant09,s005,0.63,C,A,False,0.37,0.0,0.63,0.0
F5_variant10,s005,0.49,A,A,True,0.49,0.02,0.49,0.0
F5_variant11,s005,0.66,C,A,False,0.34,0.0,0.66,0.0
F5_variant12,s005,0.5,C,A,False,0.49,0.01,0.5,0.0
F5_variant13,s005,0.58,C,A,False,0.42,0.0,0.58,0.0
F5_variant14,s005,0.58,A,A,True,0.58,0.02,0.4,0.0
F5_variant15,s005,0.6,C,A,False,0.4,0.0,0.6,0.0
F5_variant16,s005,0.49,A,A,True,0.49,0.02,0.49,0.0
F8_variant01,s008,0.6,C,A,False,0.02,0.38,0.6,0.0
F8_variant02,s008,0.53,C,A,False,0.03,0.44,0.53,0.0
